0,510,13
1,739,37
2,861,50
3,917,41
4,953,58
5,972,62
6,978,61
7,986,69
8,992,74
9,988,65
10,991,65
11,990,51
12,995,61
13,995,60
14,991,64
15,992,72
16,996,55
17,996,59
18,992,63
19,991,70
20,992,53
21,994,50
22,997,57
23,995,58
24,997,53
25,995,52
26,994,52
27,991,56
28,994,56
29,994,52
30,996,55
31,997,62
32,989,52
33,991,55
34,990,47
35,995,66
36,994,63
37,993,57
38,995,66
39,990,71
40,994,74
41,992,72
42,996,67
43,996,67
44,999,63
45,994,61
46,996,65
47,991,68
48,989,67
49,991,62
50,989,64
51,990,61
52,992,60
53,992,60
54,994,59
55,990,62
56,994,60
57,995,70
58,995,68
59,990,65
60,991,59
61,991,60
62,988,61
63,986,58
64,992,69
65,990,69
66,991,65
67,991,67
68,992,63
69,995,68
70,995,70
71,995,81
72,996,55
73,993,77
74,995,60
75,992,62
76,991,62
77,993,67
78,992,63
79,996,60
80,996,54
81,991,72
82,990,65
83,989,70
84,989,65
85,992,67
86,993,59
87,991,67
88,993,81
89,992,76
90,991,82
91,989,84
92,991,72
93,991,81
94,995,77
95,993,83
96,988,80
97,989,86
98,994,80
99,994,83
100,993,88
101,994,84
102,993,84
103,993,89
104,990,94
105,992,90
106,994,89
107,995,95
108,988,93
109,994,88
110,993,88
111,994,97
112,995,95
113,991,87
114,989,84
115,993,91
116,991,90
117,992,88
118,993,96
119,994,97
120,993,98
121,995,103
122,992,91
123,992,90
124,992,79
125,991,91
126,990,79
127,987,73
128,991,82
129,993,73
130,991,78
131,985,97
132,989,80
133,987,79
134,992,78
135,995,77
136,990,74
137,991,82
138,993,74
139,993,81
140,997,75
141,994,69
142,994,84
143,993,91
144,994,96
145,987,89
146,993,84
147,994,71
148,992,83
149,993,86
150,994,72
151,994,75
152,996,76
153,997,77
154,993,66
155,995,74
156,994,89
157,995,80
158,992,80
159,992,88
160,995,86
161,996,84
162,995,80
163,997,85
164,993,91
165,994,97
166,992,96
167,989,87
168,992,82
169,989,96
170,991,97
171,993,83
172,994,85
173,996,85
174,991,84
175,989,80
176,995,76
177,994,84
178,994,84
179,998,77
180,995,84
181,995,78
182,994,75
183,993,83
184,989,79
185,987,72
186,992,67
187,993,73
188,986,81
189,990,78
190,995,78
191,992,78
192,994,79
193,989,81
194,993,80
195,997,76
196,995,69
197,995,75
198,995,82
199,997,78
200,993,76
201,991,82
202,990,79
203,996,71
204,997,70
205,998,92
206,993,69
207,996,73
208,993,81
209,995,68
210,997,68
211,990,76
212,996,77
213,994,63
214,996,76
215,994,71
216,993,78
217,995,71
218,992,55
219,988,56
220,992,67
221,989,62
222,988,49
223,992,66
224,995,65
225,992,61
226,993,60
227,993,55
228,994,55
229,993,52
230,993,68
231,994,67
232,992,67
233,990,71
234,991,69
235,993,79
236,995,59
237,994,70
238,993,75
239,992,63
240,995,68
241,992,62
242,992,61
243,992,69
244,991,74
245,986,81
246,989,72
247,990,67
248,988,77
249,990,62
250,990,64
251,990,61
252,992,60
253,991,67
254,994,68
255,993,65
256,990,58
257,990,67
258,990,83
259,989,91
260,993,83
261,994,82
262,993,83
263,995,82
264,992,90
265,992,90
266,990,96
267,990,78
268,993,86
269,990,85
270,993,84
271,993,92
272,995,90
273,997,83
274,993,87
275,994,90
276,994,98
277,993,64
278,995,78
279,995,69
280,992,75
281,994,54
282,993,70
283,989,75
284,989,66
285,983,65
286,988,68
287,990,76
288,991,73
289,988,69
290,990,68
291,993,83
292,994,75
293,991,64
294,992,68
295,995,73
296,998,74
297,995,72
298,994,71
299,995,71
300,998,57
301,996,61
302,994,77
303,993,84
304,991,69
305,993,83
306,987,70
307,990,66
308,994,69
309,994,62
310,993,76
311,994,79
312,997,72
313,997,87
314,996,71
315,991,78
316,991,73
317,989,74
318,991,76
319,990,77
320,991,80
321,993,71
322,992,78
323,992,76
324,991,73
325,994,82
326,995,79
327,994,76
328,993,67
329,995,83
330,996,71
331,994,78
332,991,88
333,994,82
334,996,86
335,995,85
336,992,88
337,991,72
338,993,83
339,989,91
340,992,83
341,996,78
342,993,91
343,994,81
344,993,89
345,987,88
346,988,104
347,991,94
348,994,99
349,996,91
350,994,89
351,993,90
352,994,95
353,991,99
354,991,105
355,991,83
356,992,98
357,994,96
358,994,95
359,995,91
360,988,96
361,985,84
362,988,91
363,985,94
364,992,96
365,990,100
366,990,91
367,996,91
368,993,82
369,990,102
370,989,97
371,989,90
372,989,81
373,991,78
374,989,75
375,990,73
376,992,73
377,993,63
378,992,76
379,996,74
